															0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F	EOC!
						Pin Share with Digital signal?	reset value							default	0000	0001	0010	0011	0100	0101	0110	0111	1000	1001	1010	1011	1100	1101	1110	1111	EOC!
																															EOC!
IP List	RTL PAD Instance	PMM?	5V Tolerance	lqfp128 no	lqfp-216-1 no	Pin Share with Digital signal?	default PS Reset Value	Pin Share Function	pin share register	Input MUX Setting	Output MUX Setting	"GPIO setting
IO_Set: Setting GPI or GPO  In=0, Out=1
GPO_Set: Output data  Low=0, High=1
GPI_Read: Read intput data"	"PWM setting  200Hz, 50% duty cycle  
Duty_Set:  Setting duty cycle and total cycle 
                Duty=[27:16], Total=[11:0]
Div_Set:    Setting divider  1'st=[13:12], 2'nd=[11:0]  
EN_Set:    Output enable"	default	LVDS(include mini-LVDS)/EPI/NAND FLASH	RSDS/TP/PCMCIA/SPI	TTL/CLK	TCON/S.C/DTV_AGC	TCON/DDC/VS_OUT/ATV_AGC	I2C	Special	irrx/IRTX	uart	SPDIF	EJTAG/USB	I2S	ANA1	ANA2	Debug	GPIO	EOC!
GPIO	PAD_GPIO_0	NO	YES			YES	F	"3: DEMOD_AGC_RF,<OD>
4: ATV_RF_AGC,<OD>
6: ATV_IF_AGC,<OD>
D: misc_pwm_0_out,<O>
F: MIS_GPIO_bit0,<I/O>
def: MIS_GPIO_bit0,<I/O>"	0x1800_0800[31:28]			"IO_Set:         0x1801BC00[0]  
GPO_Set:      0x1801BC14[0]  
GPI_Read:    0x1801BC28[0]  "	"Duty_Set:  0x1801BC8C = 0x00320063  
Div_Set:    0x1801BC88 = 0x800030A8  
EN_Set:     0x1801BC84 = 0x60000000"	"MIS_GPIO_bit0,<I/O>"	X	X	X	"DEMOD_AGC_RF,<OD>"	"ATV_RF_AGC,<OD>"	X	"ATV_IF_AGC,<OD>"	X	X	X	X	X	X	"misc_pwm_0_out,<O>"	X	"MIS_GPIO_bit0,<I/O>"	EOC!
GPIO	PAD_GPIO_1	NO	YES			YES	F	"3: DEMOD_AGC_IF,<OD>
4: ATV_IF_AGC,<OD>
6: ATV_RF_AGC,<OD>
D: misc_pwm_1_out,<O>
F: MIS_GPIO_bit1,<I/O>
def: MIS_GPIO_bit1,<I/O>"	0x1800_0800[23:20]			"IO_Set:         0x1801BC00[1]  
GPO_Set:      0x1801BC14[1]  
GPI_Read:    0x1801BC28[1]  "	"Duty_Set:  0x1801BC98 = 0x00320063  
Div_Set:    0x1801BC94 = 0x800030A8  
EN_Set:     0x1801BC90 = 0x60000000"	"MIS_GPIO_bit1,<I/O>"	X	X	X	"DEMOD_AGC_IF,<OD>"	"ATV_IF_AGC,<OD>"	X	"ATV_RF_AGC,<OD>"	X	X	X	X	X	X	"misc_pwm_1_out,<O>"	X	"MIS_GPIO_bit1,<I/O>"	EOC!
GPIO	PAD_GPIO_2	NO	YES			YES	F	"1: TP0_Data_bit2,<I>,<HS>
D: misc_pwm_2_out,<O>
F: MIS_GPIO_bit2,<I/O>
def: MIS_GPIO_bit2,<I/O>"	0x1800_0800[15:12]			"IO_Set:         0x1801BC00[2]  
GPO_Set:      0x1801BC14[2]  
GPI_Read:    0x1801BC28[2]  "	"Duty_Set:  0x1801BCA4 = 0x00320063  
Div_Set:    0x1801BCA0 = 0x800030A8  
EN_Set:     0x1801BC9C = 0x60000000"	"MIS_GPIO_bit2,<I/O>"	X	"TP0_Data_bit2,<I>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_2_out,<O>"	X	"MIS_GPIO_bit2,<I/O>"	EOC!
GPIO	PAD_GPIO_3	NO	YES			YES	F	"1: TP0_Data_bit1,<I>,<HS>
D: misc_pwm_3_out,<O>
F: MIS_GPIO_bit3,<I/O>
def: MIS_GPIO_bit3,<I/O>"	0x1800_0800[7:4]			"IO_Set:         0x1801BC00[3]  
GPO_Set:      0x1801BC14[3]  
GPI_Read:    0x1801BC28[3]  "	"Duty_Set:  0x1801BCB0 = 0x00320063  
Div_Set:    0x1801BCAC = 0x800030A8  
EN_Set:     0x1801BCA8 = 0x60000000"	"MIS_GPIO_bit3,<I/O>"	X	"TP0_Data_bit1,<I>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_3_out,<O>"	X	"MIS_GPIO_bit3,<I/O>"	EOC!
GPIO	PAD_GPIO_4	NO	YES			YES	F	"1: TP0_Data_bit0,<I>,<HS>
D: misc_pwm_4_out,<O>
F: MIS_GPIO_bit4,<I/O>
def: MIS_GPIO_bit4,<I/O>"	0x1800_0804[31:28]			"IO_Set:         0x1801BC00[4]  
GPO_Set:      0x1801BC14[4]  
GPI_Read:    0x1801BC28[4]  "	"Duty_Set:  0x1801BCBC = 0x00320063  
Div_Set:    0x1801BCB8 = 0x800030A8  
EN_Set:     0x1801BCB4 = 0x60000000"	"MIS_GPIO_bit4,<I/O>"	X	"TP0_Data_bit0,<I>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_4_out,<O>"	X	"MIS_GPIO_bit4,<I/O>"	EOC!
GPIO	PAD_GPIO_5	NO	YES			YES	F	"1: TP0_SYNC,<I>,<HS>
D: misc_pwm_5_out,<O>
F: MIS_GPIO_bit5,<I/O>
def: MIS_GPIO_bit5,<I/O>"	0x1800_0804[23:20]			"IO_Set:         0x1801BC00[5]  
GPO_Set:      0x1801BC14[5]  
GPI_Read:    0x1801BC28[5]  "	"Duty_Set:  0x1801BCC8 = 0x00320063  
Div_Set:    0x1801BCC4 = 0x800030A8  
EN_Set:     0x1801BCC0 = 0x60000000"	"MIS_GPIO_bit5,<I/O>"	X	"TP0_SYNC,<I>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_5_out,<O>"	X	"MIS_GPIO_bit5,<I/O>"	EOC!
GPIO	PAD_GPIO_6	NO	YES			YES	F	"1: TP0_VAL,<I>,<HS>
D: misc_pwm_6_out,<O>
F: MIS_GPIO_bit6,<I/O>
def: MIS_GPIO_bit6,<I/O>"	0x1800_0804[15:12]			"IO_Set:         0x1801BC00[6]  
GPO_Set:      0x1801BC14[6]  
GPI_Read:    0x1801BC28[6]  "	"Duty_Set:  0x1801BCD4 = 0x00320063  
Div_Set:    0x1801BCD0 = 0x800030A8  
EN_Set:     0x1801BCCC = 0x60000000"	"MIS_GPIO_bit6,<I/O>"	X	"TP0_VAL,<I>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_6_out,<O>"	X	"MIS_GPIO_bit6,<I/O>"	EOC!
