NUID,IVCbc,IVCtr,IVCIPlus,DataIn,CERT_activate,CERT_generateKey
0x0000000000000000,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x0F022001}{0xF039F9EC22381F9C000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000AA36265A7DF15D703701ED243E8B61AE92997DBF849FAAC4;0x0E020001}{0x000000000000000000000000000000004C347220964C21813691DFA784DB93A0;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000001,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000100000001000000010000000100000000000000000000000000000000;0x0F022001}{0xF54E5F8D5B27991D000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD00100000000000007E12EC00DBBD2ED9E1C33FBF82C0540C70C628D5A68DF89;0x0E020001}{0x000000000000000000000000000000004F0A51354DAE02876472346FA21B38C6;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000002,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000200000002000000020000000200000000000000000000000000000000;0x0F022001}{0xB94758347CD03732000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD0010000000000004F0FEF49E67CFE0C9B6143FD00617805FE3A9E561B7D7375;0x0E020001}{0x000000000000000000000000000000009D1109E4E77AFB12555962415AFFE1EF;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000003,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000300000003000000030000000300000000000000000000000000000000;0x0F022001}{0x8B020FBF0A019937000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000B47A5B90A308EA74C088B616F906E4D0019D2979F189EAE6;0x0E020001}{0x0000000000000000000000000000000063AE1B0AB28BE7F865C81EAC58976EC1;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000004,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000400000004000000040000000400000000000000000000000000000000;0x0F022001}{0xE35BD11255D6F853000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD0010000000000008E3B22292C2186DE49F83A06D7EF0F546A183CE3DB5945CD;0x0E020001}{0x000000000000000000000000000000003FF925342336118ADD6C89282BD8AD1B;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000005,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000500000005000000050000000500000000000000000000000000000000;0x0F022001}{0x92F3108764EC1DC0000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD00100000000000062CDD340D80AB606F24BF74706781EEB7BF4A6C837F70C55;0x0E020001}{0x00000000000000000000000000000000AC9D4EE56A8BE7017BFB5CCA7D2D40CE;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000006,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000600000006000000060000000600000000000000000000000000000000;0x0F022001}{0xA523DBAD378F0894000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD0010000000000002444161D0F9E2FFE1B7D0B050BB7C7B57D67740837D1FC67;0x0E020001}{0x00000000000000000000000000000000D1AB46F2B7B2683A8B909EDEFCFE6C3D;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000007,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000700000007000000070000000700000000000000000000000000000000;0x0F022001}{0xC45AC57E891CF11A000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000D46C56860B6EE26431A66246192732E52A73EA765678C326;0x0E020001}{0x000000000000000000000000000000007B01B7AFC94DC58ED44EBF8B44DDAF3C;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000008,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000800000008000000080000000800000000000000000000000000000000;0x0F022001}{0x826E4EF1F5CFEE0C000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000193808F744502017BAB9B4F5970066DAEBB0F1856313AD67;0x0E020001}{0x00000000000000000000000000000000AB07B5FFE92A784EA37F8733757D9CA6;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000009,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000900000009000000090000000900000000000000000000000000000000;0x0F022001}{0xF0B093447CCD97A8000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD0010000000000007EF885709D0C0FF43AF4DC831B94094FA206D09C21111A24;0x0E020001}{0x00000000000000000000000000000000D95FFE074481B74B31499C54C717019C;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x000000000000000a,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000A0000000A0000000A0000000A00000000000000000000000000000000;0x0F022001}{0xA94A10D09F94720B000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000A63BDC0CA2C89F63915637D49D22A1D4D14B2AAA0D290F68;0x0E020001}{0x00000000000000000000000000000000CC7787FA3A296F595EE2CD8DE2E65B98;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x000000000000000b,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000B0000000B0000000B0000000B00000000000000000000000000000000;0x0F022001}{0x56D637C4AF50D9CB000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000C7DEAE56483BB57271B66C4B0D8C9BA1778BBE949130362A;0x0E020001}{0x00000000000000000000000000000000985BBE9E6516DFAF9A7191CDF60D901F;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x000000000000000c,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000C0000000C0000000C0000000C00000000000000000000000000000000;0x0F022001}{0x4B79529B656C45E9000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD00100000000000069E910E80B1318C25BE551F3BEAB81C40A16593BBDB0F255;0x0E020001}{0x00000000000000000000000000000000021E6325A1DF12CED4C2813B505B34A9;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x000000000000000d,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000D0000000D0000000D0000000D00000000000000000000000000000000;0x0F022001}{0xDCB39A7BAF40837B000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000F7666E48FC55FEC768066B10EBB47B5B9D5A29509DF57314;0x0E020001}{0x00000000000000000000000000000000FA3A96BB0D85858633092B4041479313;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x000000000000000e,0x1B1EBD1FC45EC43037FD4844241A437F,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC22,,0xC1B77ED52521525F0A4BA341BDAF51D9,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000E0000000E0000000E0000000E00000000000000000000000000000000;0x0F022001}{0xAA6372F12664DF88000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD00100000000000042E7915CEC3A5F93E1B0D2CEFA34ABD55D832A5FE5BBBABE;0x0E020001}{0x0000000000000000000000000000000027D2969E4747BC5D75B5C61D498571E5;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
