NUID,IVCbc,IVCtr,IVCIPlus,DataIn,CERT_activate,CERT_generateKey
0x0000000000000000,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x0F022001}{0xF039F9EC22381F9C000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000AA36265A7DF15D703701ED243E8B61AE92997DBF849FAAC4;0x0E020001}{0x000000000000000000000000000000001D518260153E257DCA4857142F4E3083;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000001,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000100000001000000010000000100000000000000000000000000000000;0x0F022001}{0xF54E5F8D5B27991D000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD00100000000000007E12EC00DBBD2ED9E1C33FBF82C0540C70C628D5A68DF89;0x0E020001}{0x00000000000000000000000000000000090309ED1FF6CEDF6C21BEB4BB2A7B3E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000002,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000200000002000000020000000200000000000000000000000000000000;0x0F022001}{0xB94758347CD03732000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD0010000000000004F0FEF49E67CFE0C9B6143FD00617805FE3A9E561B7D7375;0x0E020001}{0x0000000000000000000000000000000000192A3373D83D095FCE6BAD652F5B01;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000003,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000300000003000000030000000300000000000000000000000000000000;0x0F022001}{0x8B020FBF0A019937000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000B47A5B90A308EA74C088B616F906E4D0019D2979F189EAE6;0x0E020001}{0x0000000000000000000000000000000091DBA714D36A84577B656630A98EBD3B;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000004,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000400000004000000040000000400000000000000000000000000000000;0x0F022001}{0xE35BD11255D6F853000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD0010000000000008E3B22292C2186DE49F83A06D7EF0F546A183CE3DB5945CD;0x0E020001}{0x000000000000000000000000000000001EB6A0BEE95879455E3640C7E7391EAD;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000005,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000500000005000000050000000500000000000000000000000000000000;0x0F022001}{0x92F3108764EC1DC0000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD00100000000000062CDD340D80AB606F24BF74706781EEB7BF4A6C837F70C55;0x0E020001}{0x00000000000000000000000000000000FA49E1E0E9C41D81CD4E581F57D98F21;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000006,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000600000006000000060000000600000000000000000000000000000000;0x0F022001}{0xA523DBAD378F0894000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD0010000000000002444161D0F9E2FFE1B7D0B050BB7C7B57D67740837D1FC67;0x0E020001}{0x000000000000000000000000000000005D7820C0B017581FBD416BEF64916371;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000007,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000700000007000000070000000700000000000000000000000000000000;0x0F022001}{0xC45AC57E891CF11A000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000D46C56860B6EE26431A66246192732E52A73EA765678C326;0x0E020001}{0x00000000000000000000000000000000A44955E2A00B1854260EE427364B78F1;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000008,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000800000008000000080000000800000000000000000000000000000000;0x0F022001}{0x826E4EF1F5CFEE0C000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD001000000000000193808F744502017BAB9B4F5970066DAEBB0F1856313AD67;0x0E020001}{0x000000000000000000000000000000000CD43781B34604877D1A90143C72D55C;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000009,0x00000000000000000000000000000000,0x,0xB86136B7E440B04394738D9047D154D6,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000900000009000000090000000900000000000000000000000000000000;0x0F022001}{0xF0B093447CCD97A8000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0xD0010000000000007EF885709D0C0FF43AF4DC831B94094FA206D09C21111A24;0x0E020001}{0x0000000000000000000000000000000024FA503C14622339487C95DA11BDED63;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
