NUID,IVCbc,IVCtr,IVCIPlus,CERT_activate,CERT_generateKey_#01,CERT_generateKey_#02,CERT_generateKey_#03,CERT_generateKey_#04,CERT_generateKey_#05,CERT_generateKey_#06,CERT_generateKey_#07
0x0000000000000000,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x0F022001}{0xF039F9EC22381F9C000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000D5FC8D1318E2AE69734D699DD25D85F1C05136657350561B;0x0E020001}{0x00000000000000000000000000000000000000000000000005D4C2F4641BA658;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000D5FC8D1318E2AE69734D699DD25D85F1C05136657350561B;0x0E020001}{0x0000000000000000000000000000000000000000000000005872B66A216E7E31;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000D5FC8D1318E2AE69734D699DD25D85F1C05136657350561B;0x0E020001}{0x00000000000000000000000000000000000000000000000061EE4B13665C6208;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000D5FC8D1318E2AE69734D699DD25D85F1C05136657350561B;0x0E020001}{0x00000000000000000000000000000000000000000000000057A77BF4B6C65188;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000D5FC8D1318E2AE69734D699DD25D85F1C05136657350561B;0x0E020001}{0x00000000000000000000000000000000000000000000000005D4C2F4641BA658;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000D5FC8D1318E2AE69734D699DD25D85F1C05136657350561B;0x0E020001}{0x0000000000000000000000000000000000000000000000005872B66A216E7E31;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000D5FC8D1318E2AE69734D699DD25D85F1C05136657350561B;0x0E020001}{0x00000000000000000000000000000000000000000000000061EE4B13665C6208;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000001,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000100000001000000010000000100000000000000000000000000000000;0x0F022001}{0xF54E5F8D5B27991D000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000A895D0A65A1F0667823776EE40589E2648A04A60328240DA;0x0E020001}{0x0000000000000000000000000000000000000000000000006BC1122917D8F7DF;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000A895D0A65A1F0667823776EE40589E2648A04A60328240DA;0x0E020001}{0x0000000000000000000000000000000000000000000000005479EC0E7B377286;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000A895D0A65A1F0667823776EE40589E2648A04A60328240DA;0x0E020001}{0x0000000000000000000000000000000000000000000000009125699E826D26AB;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000A895D0A65A1F0667823776EE40589E2648A04A60328240DA;0x0E020001}{0x000000000000000000000000000000000000000000000000D7FB15DF7EF36A7A;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000A895D0A65A1F0667823776EE40589E2648A04A60328240DA;0x0E020001}{0x0000000000000000000000000000000000000000000000006BC1122917D8F7DF;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000A895D0A65A1F0667823776EE40589E2648A04A60328240DA;0x0E020001}{0x0000000000000000000000000000000000000000000000005479EC0E7B377286;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000A895D0A65A1F0667823776EE40589E2648A04A60328240DA;0x0E020001}{0x0000000000000000000000000000000000000000000000009125699E826D26AB;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000002,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000200000002000000020000000200000000000000000000000000000000;0x0F022001}{0xB94758347CD03732000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000BF4FD23A95461346BE9A4D5F45509F65F7AB53049A6EA381;0x0E020001}{0x000000000000000000000000000000000000000000000000B1C4D92AE6ABDD28;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000BF4FD23A95461346BE9A4D5F45509F65F7AB53049A6EA381;0x0E020001}{0x000000000000000000000000000000000000000000000000B18BC5DB0BA68038;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000BF4FD23A95461346BE9A4D5F45509F65F7AB53049A6EA381;0x0E020001}{0x00000000000000000000000000000000000000000000000066492BBD6748E2C9;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000BF4FD23A95461346BE9A4D5F45509F65F7AB53049A6EA381;0x0E020001}{0x0000000000000000000000000000000000000000000000006BB1D8FB83F62940;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000BF4FD23A95461346BE9A4D5F45509F65F7AB53049A6EA381;0x0E020001}{0x000000000000000000000000000000000000000000000000B1C4D92AE6ABDD28;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000BF4FD23A95461346BE9A4D5F45509F65F7AB53049A6EA381;0x0E020001}{0x000000000000000000000000000000000000000000000000B18BC5DB0BA68038;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000BF4FD23A95461346BE9A4D5F45509F65F7AB53049A6EA381;0x0E020001}{0x00000000000000000000000000000000000000000000000066492BBD6748E2C9;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000003,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000300000003000000030000000300000000000000000000000000000000;0x0F022001}{0x8B020FBF0A019937000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000004D84F1ADD49BAA78F98985473F59D51FEB6C16FC1C93264C;0x0E020001}{0x000000000000000000000000000000000000000000000000024F3903722E36C2;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000004D84F1ADD49BAA78F98985473F59D51FEB6C16FC1C93264C;0x0E020001}{0x0000000000000000000000000000000000000000000000002C1FFB9FC5846A44;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000004D84F1ADD49BAA78F98985473F59D51FEB6C16FC1C93264C;0x0E020001}{0x000000000000000000000000000000000000000000000000F63F71329F90769A;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000004D84F1ADD49BAA78F98985473F59D51FEB6C16FC1C93264C;0x0E020001}{0x000000000000000000000000000000000000000000000000285FCA9516727E9C;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000004D84F1ADD49BAA78F98985473F59D51FEB6C16FC1C93264C;0x0E020001}{0x000000000000000000000000000000000000000000000000024F3903722E36C2;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000004D84F1ADD49BAA78F98985473F59D51FEB6C16FC1C93264C;0x0E020001}{0x0000000000000000000000000000000000000000000000002C1FFB9FC5846A44;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000004D84F1ADD49BAA78F98985473F59D51FEB6C16FC1C93264C;0x0E020001}{0x000000000000000000000000000000000000000000000000F63F71329F90769A;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000004,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000400000004000000040000000400000000000000000000000000000000;0x0F022001}{0xE35BD11255D6F853000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A0100000000000023CAD0707FBFF558FC6D8E367E07AE25D1441AB7FB0CC1AD;0x0E020001}{0x000000000000000000000000000000000000000000000000B1CB4072BAB8A1F7;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A0100000000000023CAD0707FBFF558FC6D8E367E07AE25D1441AB7FB0CC1AD;0x0E020001}{0x00000000000000000000000000000000000000000000000058193FF981354EF3;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A0100000000000023CAD0707FBFF558FC6D8E367E07AE25D1441AB7FB0CC1AD;0x0E020001}{0x000000000000000000000000000000000000000000000000FFF5D14BA6CBDB77;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A0100000000000023CAD0707FBFF558FC6D8E367E07AE25D1441AB7FB0CC1AD;0x0E020001}{0x00000000000000000000000000000000000000000000000096D28030EEB1FCC3;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A0100000000000023CAD0707FBFF558FC6D8E367E07AE25D1441AB7FB0CC1AD;0x0E020001}{0x000000000000000000000000000000000000000000000000B1CB4072BAB8A1F7;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A0100000000000023CAD0707FBFF558FC6D8E367E07AE25D1441AB7FB0CC1AD;0x0E020001}{0x00000000000000000000000000000000000000000000000058193FF981354EF3;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A0100000000000023CAD0707FBFF558FC6D8E367E07AE25D1441AB7FB0CC1AD;0x0E020001}{0x000000000000000000000000000000000000000000000000FFF5D14BA6CBDB77;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000005,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000500000005000000050000000500000000000000000000000000000000;0x0F022001}{0x92F3108764EC1DC0000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000005B5EAFC079CC9349D26799D9DF2264A019CB04F50C9A583A;0x0E020001}{0x000000000000000000000000000000000000000000000000F46EEB540A3C14BD;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000005B5EAFC079CC9349D26799D9DF2264A019CB04F50C9A583A;0x0E020001}{0x0000000000000000000000000000000000000000000000009603E2CB31BA3273;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000005B5EAFC079CC9349D26799D9DF2264A019CB04F50C9A583A;0x0E020001}{0x0000000000000000000000000000000000000000000000005CC29158D44BC08A;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000005B5EAFC079CC9349D26799D9DF2264A019CB04F50C9A583A;0x0E020001}{0x000000000000000000000000000000000000000000000000DD41226B430A8E1E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000005B5EAFC079CC9349D26799D9DF2264A019CB04F50C9A583A;0x0E020001}{0x000000000000000000000000000000000000000000000000F46EEB540A3C14BD;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000005B5EAFC079CC9349D26799D9DF2264A019CB04F50C9A583A;0x0E020001}{0x0000000000000000000000000000000000000000000000009603E2CB31BA3273;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000005B5EAFC079CC9349D26799D9DF2264A019CB04F50C9A583A;0x0E020001}{0x0000000000000000000000000000000000000000000000005CC29158D44BC08A;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000006,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000600000006000000060000000600000000000000000000000000000000;0x0F022001}{0xA523DBAD378F0894000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000B205A56396A46591F2F714862DB98D599EA4240AEFE7A8F7;0x0E020001}{0x0000000000000000000000000000000000000000000000002869BA469A7F0110;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000B205A56396A46591F2F714862DB98D599EA4240AEFE7A8F7;0x0E020001}{0x000000000000000000000000000000000000000000000000BC9CFD72206FA623;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000B205A56396A46591F2F714862DB98D599EA4240AEFE7A8F7;0x0E020001}{0x000000000000000000000000000000000000000000000000FE5658F3B54A95E0;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000B205A56396A46591F2F714862DB98D599EA4240AEFE7A8F7;0x0E020001}{0x0000000000000000000000000000000000000000000000000E43D9149C5782A2;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000B205A56396A46591F2F714862DB98D599EA4240AEFE7A8F7;0x0E020001}{0x0000000000000000000000000000000000000000000000002869BA469A7F0110;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000B205A56396A46591F2F714862DB98D599EA4240AEFE7A8F7;0x0E020001}{0x000000000000000000000000000000000000000000000000BC9CFD72206FA623;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000B205A56396A46591F2F714862DB98D599EA4240AEFE7A8F7;0x0E020001}{0x000000000000000000000000000000000000000000000000FE5658F3B54A95E0;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000007,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000700000007000000070000000700000000000000000000000000000000;0x0F022001}{0xC45AC57E891CF11A000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000985E20CFA6896AB7A9C570E62885B8361DABFAE95C124789;0x0E020001}{0x00000000000000000000000000000000000000000000000029D3A720113B3846;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000985E20CFA6896AB7A9C570E62885B8361DABFAE95C124789;0x0E020001}{0x0000000000000000000000000000000000000000000000005B8ACE9DB474B12E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000985E20CFA6896AB7A9C570E62885B8361DABFAE95C124789;0x0E020001}{0x000000000000000000000000000000000000000000000000792277E9D1C8BE5F;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000985E20CFA6896AB7A9C570E62885B8361DABFAE95C124789;0x0E020001}{0x0000000000000000000000000000000000000000000000008D72D0A5649CFBA2;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000985E20CFA6896AB7A9C570E62885B8361DABFAE95C124789;0x0E020001}{0x00000000000000000000000000000000000000000000000029D3A720113B3846;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000985E20CFA6896AB7A9C570E62885B8361DABFAE95C124789;0x0E020001}{0x0000000000000000000000000000000000000000000000005B8ACE9DB474B12E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000985E20CFA6896AB7A9C570E62885B8361DABFAE95C124789;0x0E020001}{0x000000000000000000000000000000000000000000000000792277E9D1C8BE5F;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000008,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000800000008000000080000000800000000000000000000000000000000;0x0F022001}{0x826E4EF1F5CFEE0C000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000F3EF00CB545DE81294883DF09C4BC1C765EAC30D4F4F1BA6;0x0E020001}{0x00000000000000000000000000000000000000000000000018AF966549093DDE;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000F3EF00CB545DE81294883DF09C4BC1C765EAC30D4F4F1BA6;0x0E020001}{0x000000000000000000000000000000000000000000000000915B5AE128D1E2BD;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000F3EF00CB545DE81294883DF09C4BC1C765EAC30D4F4F1BA6;0x0E020001}{0x000000000000000000000000000000000000000000000000A5524C6591F174B4;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000F3EF00CB545DE81294883DF09C4BC1C765EAC30D4F4F1BA6;0x0E020001}{0x000000000000000000000000000000000000000000000000522B74191E7EE61B;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000F3EF00CB545DE81294883DF09C4BC1C765EAC30D4F4F1BA6;0x0E020001}{0x00000000000000000000000000000000000000000000000018AF966549093DDE;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000F3EF00CB545DE81294883DF09C4BC1C765EAC30D4F4F1BA6;0x0E020001}{0x000000000000000000000000000000000000000000000000915B5AE128D1E2BD;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A01000000000000F3EF00CB545DE81294883DF09C4BC1C765EAC30D4F4F1BA6;0x0E020001}{0x000000000000000000000000000000000000000000000000A5524C6591F174B4;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000009,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000900000009000000090000000900000000000000000000000000000000;0x0F022001}{0xF0B093447CCD97A8000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000007EFB99EBFD2A3C42BD1D155F221A998006066F231FF63544;0x0E020001}{0x00000000000000000000000000000000000000000000000032AEC6F72EC99E72;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000007EFB99EBFD2A3C42BD1D155F221A998006066F231FF63544;0x0E020001}{0x00000000000000000000000000000000000000000000000081AF3E574F7F3A93;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000007EFB99EBFD2A3C42BD1D155F221A998006066F231FF63544;0x0E020001}{0x0000000000000000000000000000000000000000000000003F71DB1BD2A4546B;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000007EFB99EBFD2A3C42BD1D155F221A998006066F231FF63544;0x0E020001}{0x00000000000000000000000000000000000000000000000033696A578B8DC21D;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000007EFB99EBFD2A3C42BD1D155F221A998006066F231FF63544;0x0E020001}{0x00000000000000000000000000000000000000000000000032AEC6F72EC99E72;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000007EFB99EBFD2A3C42BD1D155F221A998006066F231FF63544;0x0E020001}{0x00000000000000000000000000000000000000000000000081AF3E574F7F3A93;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x8A010000000000007EFB99EBFD2A3C42BD1D155F221A998006066F231FF63544;0x0E020001}{0x0000000000000000000000000000000000000000000000003F71DB1BD2A4546B;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
