NUID,IVCbc,IVCtr,IVCIPlus,CERT_activate,CERT_generateKey_#01,CERT_generateKey_#02,CERT_generateKey_#03,CERT_generateKey_#04,CERT_generateKey_#05,CERT_generateKey_#06,CERT_generateKey_#07
0x0000000000000000,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x0F022001}{0xF039F9EC22381F9C000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000A4CDED9485C5C0667716276EB4EA48B827FA148FD352ED60;0x0E020001}{0x00000000000000000000000000000000C42B467007B19D1CE9C71B179037FDCD;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000A4CDED9485C5C0667716276EB4EA48B827FA148FD352ED60;0x0E020001}{0x000000000000000000000000000000001E61C17F71A476ACD62E2E8DC05F7B4D;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000A4CDED9485C5C0667716276EB4EA48B827FA148FD352ED60;0x0E020001}{0x00000000000000000000000000000000F2DB42E425B34168F8A8B2E05BB9D8FC;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000A4CDED9485C5C0667716276EB4EA48B827FA148FD352ED60;0x0E020001}{0x00000000000000000000000000000000BBA07595DCB57D8509C5EE8A6CC9F18E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000A4CDED9485C5C0667716276EB4EA48B827FA148FD352ED60;0x0E020001}{0x000000000000000000000000000000009C46F248F0A19CEB7E50A7D4A730C662;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000A4CDED9485C5C0667716276EB4EA48B827FA148FD352ED60;0x0E020001}{0x000000000000000000000000000000008D37AECC82E530260C86EACA408CFA3F;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000A4CDED9485C5C0667716276EB4EA48B827FA148FD352ED60;0x0E020001}{0x0000000000000000000000000000000068E51D33E7C27DD8A838B606E58FAB83;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000001,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000100000001000000010000000100000000000000000000000000000000;0x0F022001}{0xF54E5F8D5B27991D000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x990100000000000040C914A4903D1D1BB229B32706A4BFDB4BEE72BF4A03D848;0x0E020001}{0x00000000000000000000000000000000B7E947207E6D40E571B2E6BDB375022E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x990100000000000040C914A4903D1D1BB229B32706A4BFDB4BEE72BF4A03D848;0x0E020001}{0x00000000000000000000000000000000929BF007C64E4B16832BB9ECF0E39D37;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x990100000000000040C914A4903D1D1BB229B32706A4BFDB4BEE72BF4A03D848;0x0E020001}{0x00000000000000000000000000000000B22797522A25D1412652BBF6D6F3FF06;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x990100000000000040C914A4903D1D1BB229B32706A4BFDB4BEE72BF4A03D848;0x0E020001}{0x000000000000000000000000000000008D963734E81BBF400F8704E3BFF954FF;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x990100000000000040C914A4903D1D1BB229B32706A4BFDB4BEE72BF4A03D848;0x0E020001}{0x00000000000000000000000000000000F003F825CE8DBD56914974EA23A88BA5;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x990100000000000040C914A4903D1D1BB229B32706A4BFDB4BEE72BF4A03D848;0x0E020001}{0x00000000000000000000000000000000520C179A9E4B795FC9A493EC050BCC59;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x990100000000000040C914A4903D1D1BB229B32706A4BFDB4BEE72BF4A03D848;0x0E020001}{0x000000000000000000000000000000005989973D7A838D450FE4C2F881C81ECE;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000002,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000200000002000000020000000200000000000000000000000000000000;0x0F022001}{0xB94758347CD03732000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000002E4629EB2F697B72ECB9C8FF7654861827A49E1FE1EEDF6A;0x0E020001}{0x00000000000000000000000000000000A91CD212E065DE3DE901608EC6916646;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000002E4629EB2F697B72ECB9C8FF7654861827A49E1FE1EEDF6A;0x0E020001}{0x000000000000000000000000000000003F2705E918B3ED6CC74040D10B043CD9;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000002E4629EB2F697B72ECB9C8FF7654861827A49E1FE1EEDF6A;0x0E020001}{0x00000000000000000000000000000000AFA5B47795C766AED85D4437C500DADF;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000002E4629EB2F697B72ECB9C8FF7654861827A49E1FE1EEDF6A;0x0E020001}{0x000000000000000000000000000000006504AB1CFCEB5894E6F77667D4FE2B1B;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000002E4629EB2F697B72ECB9C8FF7654861827A49E1FE1EEDF6A;0x0E020001}{0x000000000000000000000000000000009C73CAC152200324B2AF7AE825F55267;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000002E4629EB2F697B72ECB9C8FF7654861827A49E1FE1EEDF6A;0x0E020001}{0x00000000000000000000000000000000178DB0A822DA521E06575D7B4DFCF798;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000002E4629EB2F697B72ECB9C8FF7654861827A49E1FE1EEDF6A;0x0E020001}{0x00000000000000000000000000000000515717AC44FF5FE8FA1BA35D28D6F568;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000003,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000300000003000000030000000300000000000000000000000000000000;0x0F022001}{0x8B020FBF0A019937000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007162BFD4ECF1AD70EC220145E573E845F30D567F09FA0589;0x0E020001}{0x00000000000000000000000000000000FCA5EF4B13D15620DAF655C4EAD46852;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007162BFD4ECF1AD70EC220145E573E845F30D567F09FA0589;0x0E020001}{0x000000000000000000000000000000008E835E6FE21292A862578B1025839E4E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007162BFD4ECF1AD70EC220145E573E845F30D567F09FA0589;0x0E020001}{0x000000000000000000000000000000005FE6639CD6D3FBC90734BB3C81AEF028;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007162BFD4ECF1AD70EC220145E573E845F30D567F09FA0589;0x0E020001}{0x00000000000000000000000000000000796A719C6CD769CBF608A8FFB6FEF9D7;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007162BFD4ECF1AD70EC220145E573E845F30D567F09FA0589;0x0E020001}{0x00000000000000000000000000000000CAA617B5DEF4EF9AFB048C77AE1A06EC;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007162BFD4ECF1AD70EC220145E573E845F30D567F09FA0589;0x0E020001}{0x000000000000000000000000000000003ED8741555C0F3ABA33B03FFCCE0AEF0;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007162BFD4ECF1AD70EC220145E573E845F30D567F09FA0589;0x0E020001}{0x00000000000000000000000000000000D5FC4C6054392FE445C5DF74788B3FC0;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000004,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000400000004000000040000000400000000000000000000000000000000;0x0F022001}{0xE35BD11255D6F853000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000E5F21424EE162B3DF659C93C03008C501896E49188210E25;0x0E020001}{0x00000000000000000000000000000000CC85F7A688A143A2DE72AF0F9C58443B;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000E5F21424EE162B3DF659C93C03008C501896E49188210E25;0x0E020001}{0x00000000000000000000000000000000F0C4D254758BFB083E78EC613973EEEB;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000E5F21424EE162B3DF659C93C03008C501896E49188210E25;0x0E020001}{0x000000000000000000000000000000008E11D9E945181870766AE01BFAB067BD;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000E5F21424EE162B3DF659C93C03008C501896E49188210E25;0x0E020001}{0x00000000000000000000000000000000DD0CB82A2BF7A0B766FBE591FCBC13D0;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000E5F21424EE162B3DF659C93C03008C501896E49188210E25;0x0E020001}{0x00000000000000000000000000000000F0BD462038000917352662481D11134C;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000E5F21424EE162B3DF659C93C03008C501896E49188210E25;0x0E020001}{0x00000000000000000000000000000000D4B78EDF4D9A723FB3301FA8B49B57D0;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000E5F21424EE162B3DF659C93C03008C501896E49188210E25;0x0E020001}{0x0000000000000000000000000000000023366318DDA1FE80AB8381FED23FE2B2;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000005,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000500000005000000050000000500000000000000000000000000000000;0x0F022001}{0x92F3108764EC1DC0000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004E5CD9A4464AD3E20734AFC2982C296F8F09BF98F6C655D4;0x0E020001}{0x00000000000000000000000000000000FB3D320EAE29F4C8F1E03F89554E5D4F;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004E5CD9A4464AD3E20734AFC2982C296F8F09BF98F6C655D4;0x0E020001}{0x00000000000000000000000000000000ACE2A638ACE57EF10C7E7DCD379DE34E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004E5CD9A4464AD3E20734AFC2982C296F8F09BF98F6C655D4;0x0E020001}{0x000000000000000000000000000000008EEB8CC12083292A7C9A98616A0AE175;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004E5CD9A4464AD3E20734AFC2982C296F8F09BF98F6C655D4;0x0E020001}{0x00000000000000000000000000000000E9D838E4A2D3B2A6FECC1D3DDB96B4EB;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004E5CD9A4464AD3E20734AFC2982C296F8F09BF98F6C655D4;0x0E020001}{0x00000000000000000000000000000000199CBA6397A8AB17989F7230414B7740;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004E5CD9A4464AD3E20734AFC2982C296F8F09BF98F6C655D4;0x0E020001}{0x000000000000000000000000000000001DC27942A3B85D272BC8925A74AE0BED;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004E5CD9A4464AD3E20734AFC2982C296F8F09BF98F6C655D4;0x0E020001}{0x00000000000000000000000000000000663DA03AB7289A179ADB4C0AED4C0415;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000006,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000600000006000000060000000600000000000000000000000000000000;0x0F022001}{0xA523DBAD378F0894000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000663CEE8CEACA23ACF68E0DB5F16C2812EF807C1D74BF5DC3;0x0E020001}{0x00000000000000000000000000000000603EEA85132C53BE69DAE1D8206D0DA9;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000663CEE8CEACA23ACF68E0DB5F16C2812EF807C1D74BF5DC3;0x0E020001}{0x0000000000000000000000000000000059E82BC4909D8C7476E6014F9262A8CC;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000663CEE8CEACA23ACF68E0DB5F16C2812EF807C1D74BF5DC3;0x0E020001}{0x000000000000000000000000000000006C65D79EF31384EEF5B7FA61BC0F8C98;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000663CEE8CEACA23ACF68E0DB5F16C2812EF807C1D74BF5DC3;0x0E020001}{0x00000000000000000000000000000000B6D988393C204E7DB88BC2ECD63404AB;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000663CEE8CEACA23ACF68E0DB5F16C2812EF807C1D74BF5DC3;0x0E020001}{0x00000000000000000000000000000000A86852CA1FDC187C4CC64B05477ECF9D;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000663CEE8CEACA23ACF68E0DB5F16C2812EF807C1D74BF5DC3;0x0E020001}{0x0000000000000000000000000000000088DE3ADA671F35425EC0248A5B9FF6E4;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x9901000000000000663CEE8CEACA23ACF68E0DB5F16C2812EF807C1D74BF5DC3;0x0E020001}{0x000000000000000000000000000000003DB4471F3847C5EC4EF4DC4638C35B14;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000007,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000700000007000000070000000700000000000000000000000000000000;0x0F022001}{0xC45AC57E891CF11A000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004BC0246D193831EA2F7FF73A77C249C6B775320BB75DB259;0x0E020001}{0x00000000000000000000000000000000EDA62B51FC690C6945E062DC1FA3809B;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004BC0246D193831EA2F7FF73A77C249C6B775320BB75DB259;0x0E020001}{0x000000000000000000000000000000008A86A47219796D8FE97A09A7023EC8BA;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004BC0246D193831EA2F7FF73A77C249C6B775320BB75DB259;0x0E020001}{0x00000000000000000000000000000000EA59B3508D2F6BE2AAB0399C14C0D2C2;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004BC0246D193831EA2F7FF73A77C249C6B775320BB75DB259;0x0E020001}{0x00000000000000000000000000000000051E2C1400151A015740C89030CB0667;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004BC0246D193831EA2F7FF73A77C249C6B775320BB75DB259;0x0E020001}{0x00000000000000000000000000000000E5261AFC3E805647D0A68E11BBE13750;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004BC0246D193831EA2F7FF73A77C249C6B775320BB75DB259;0x0E020001}{0x0000000000000000000000000000000010609F05BE8F24B9BD4BAD643B861808;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000004BC0246D193831EA2F7FF73A77C249C6B775320BB75DB259;0x0E020001}{0x00000000000000000000000000000000ABFFA04FE3C551E765DCAD86DE4D4DAD;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000008,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000800000008000000080000000800000000000000000000000000000000;0x0F022001}{0x826E4EF1F5CFEE0C000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007A1AC8CD9098F202F03CAE3B1C954F354DF574A3F013DEE9;0x0E020001}{0x000000000000000000000000000000001C1B038D94698EDD28AC006ED4D6DB7F;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007A1AC8CD9098F202F03CAE3B1C954F354DF574A3F013DEE9;0x0E020001}{0x00000000000000000000000000000000744605B88929A5939DAB5026EB85E4D8;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007A1AC8CD9098F202F03CAE3B1C954F354DF574A3F013DEE9;0x0E020001}{0x000000000000000000000000000000004B0FC200E822567E60E09EC20A8A50E2;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007A1AC8CD9098F202F03CAE3B1C954F354DF574A3F013DEE9;0x0E020001}{0x00000000000000000000000000000000DA2C71166DB4B384864BCCC3ACBB0E07;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007A1AC8CD9098F202F03CAE3B1C954F354DF574A3F013DEE9;0x0E020001}{0x00000000000000000000000000000000754D06D2F54B7BF0E0D0B4108E208CB4;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007A1AC8CD9098F202F03CAE3B1C954F354DF574A3F013DEE9;0x0E020001}{0x000000000000000000000000000000005DB6CCF5F7C79BD60B7D0C2E0EF4A63D;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000007A1AC8CD9098F202F03CAE3B1C954F354DF574A3F013DEE9;0x0E020001}{0x0000000000000000000000000000000026D176BC4BA3B47603BA3D0DC3BC6E6E;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
0x0000000000000009,,,,{0x00040000000000E331AF00000000000000000000000000000000000000000409;0x0F010001}{0x0000000900000009000000090000000900000000000000000000000000000000;0x0F022001}{0xF0B093447CCD97A8000000000000000000000000000000000000000000000000;0x0F040001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000005C6C0BE5488B1415EBCCEBA5AAA9F75B8CC0C85B1B833CFA;0x0E020001}{0x000000000000000000000000000000004CAAED808A85085C83CAB0254FFB66C0;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000005C6C0BE5488B1415EBCCEBA5AAA9F75B8CC0C85B1B833CFA;0x0E020001}{0x0000000000000000000000000000000030314C52ED25DA67DEC2CCD026BE6603;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000005C6C0BE5488B1415EBCCEBA5AAA9F75B8CC0C85B1B833CFA;0x0E020001}{0x000000000000000000000000000000006AA20933EE269B5DE7C8401150081E1F;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000005C6C0BE5488B1415EBCCEBA5AAA9F75B8CC0C85B1B833CFA;0x0E020001}{0x000000000000000000000000000000008C1D425C5592D403114DC4A30751B05A;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000005C6C0BE5488B1415EBCCEBA5AAA9F75B8CC0C85B1B833CFA;0x0E020001}{0x000000000000000000000000000000004785C34CA19842B84B9B7B31DB77AD07;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000005C6C0BE5488B1415EBCCEBA5AAA9F75B8CC0C85B1B833CFA;0x0E020001}{0x0000000000000000000000000000000003C42BFB2094D904999BDEF32D778897;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001},{0x0004000000000000000000000000000000000000000000000000000000000000;0x0E010001}{0x99010000000000005C6C0BE5488B1415EBCCEBA5AAA9F75B8CC0C85B1B833CFA;0x0E020001}{0x000000000000000000000000000000001C298CAF4B3ACDEC257275934AC250F5;0x0E040001}{0x0000000000000000000000000000000000000000000000000000000000000000;0x06010001}
