NUID,CipheredProtectingKeyL2,CipheredProtectingKeyL1,CipheredContentKey,HostKey,IVCbc,IVCtr,IVCIPlus,DataIn,ClearTextFlashProtectionKey
0x0000000000000000,0xA9323031314E61677261766973696F6E,0xddcc7ee6fc3b472b6c46dc85b039a986,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000001,0xA9323031314E61677261766973696F6E,0xb6ad3c5059713b4c068b3d766189a522,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000002,0xA9323031314E61677261766973696F6E,0x87c241e30dd0abba4ca80e089c21d035,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000003,0xA9323031314E61677261766973696F6E,0xc71b0d3ba42a0e6a0253c25c431cd832,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000004,0xA9323031314E61677261766973696F6E,0x6a3c998228ba01d8580a439f4168b86f,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000005,0xA9323031314E61677261766973696F6E,0x4eb2ae8a3ec8fcdda95c1bd3f1772946,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000006,0xA9323031314E61677261766973696F6E,0x8cb47a688567b3f4a526f45737da9f9d,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000007,0xA9323031314E61677261766973696F6E,0xdbbfe1ca4180c7b201f6dd5d9d4c0410,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000008,0xA9323031314E61677261766973696F6E,0x6822033fc2acf87203ca308d415581f6,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
0x0000000000000009,0xA9323031314E61677261766973696F6E,0x056cee2f7001057ac67cef3ea7f45147,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0xB86136B7E440B04394738D9047D154D6,,,,,
