NUID,CipheredProtectingKeyL2,CipheredProtectingKeyL1,CipheredContentKey,HostKey,IVCbc,IVCtr,IVCIPlus,DataIn,ClearTextFlashProtectionKey
0x0000000000000000,0xA9323031314E61677261766973696F6E,0x3b8395df4b9c9dd335bbc730facaf82e,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000001,0xA9323031314E61677261766973696F6E,0x41fb72e33ead7e2e5b72d74c8c0992ad,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000002,0xA9323031314E61677261766973696F6E,0x50a3fee3dbd5ff09aaf8777d27e52cc5,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000003,0xA9323031314E61677261766973696F6E,0x038fe250493dad766f99faa8a4d14a9f,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000004,0xA9323031314E61677261766973696F6E,0xd2470b733a1a64f8daa6619583bdcd7f,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000005,0xA9323031314E61677261766973696F6E,0x2cb1e116f3f3386834376e61972a42a9,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000006,0xA9323031314E61677261766973696F6E,0xb294f4d0dffffe13b32074894580dbfe,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000007,0xA9323031314E61677261766973696F6E,0x602c44926378932be8e15f3a56cb64c5,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000008,0xA9323031314E61677261766973696F6E,0xd82b064740c1f7420fe0567f337f1e4d,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000009,0xA9323031314E61677261766973696F6E,0xf3102512cdc3b1b5684384a017b90dfa,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
0x000000000000000a,0xA9323031314E61677261766973696F6E,0xc08eb5c9b1685ee9a434f86d8df2cfb3,0x6AC1B6218EB31105DC5B5CC857583920,0xDC4A3E152818FE95A7DF230117B083A1,0x00000000000000000000000000000000,0xB86136B7E440B04394738D9047D154D6,0xB86136B7E440B04394738D9047D154D6,,
