NUID,CipheredProtectingKeyL2,CipheredProtectingKeyL1,CipheredContentKey,HostKey,IVCbc,IVCtr,IVCIPlus,DataIn,ClearTextFlashProtectionKey
0x0000000000000000,0xA9323031314E61677261766973696F6E,0x3b9812f01fc987b984decc1e65f419a3,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000001,0xA9323031314E61677261766973696F6E,0x0e301fca7e22a634e79078745cdc6c04,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000002,0xA9323031314E61677261766973696F6E,0xfd01b3c7b59b0d489a96a0119cf95e4e,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000003,0xA9323031314E61677261766973696F6E,0x0bb9f873e41b1d64f756c043f6f60901,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000004,0xA9323031314E61677261766973696F6E,0xc00641efee7ce653c8ded70662064345,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000005,0xA9323031314E61677261766973696F6E,0xbbae31effd4bf119bd94df193c1199e3,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000006,0xA9323031314E61677261766973696F6E,0xeb0eb381a05b47e5f655aab81c9d8932,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000007,0xA9323031314E61677261766973696F6E,0xfc9f3125c7246a3470325c7308e8521d,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000008,0xA9323031314E61677261766973696F6E,0x5810eefcc6b0b28c5c7087df3c6644fc,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000009,0xA9323031314E61677261766973696F6E,0x99501943c6d46315842ef9bd8999ebd6,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x000000000000000a,0xA9323031314E61677261766973696F6E,0x49975fc721200d7673ca3f27956656aa,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x000000000000000b,0xA9323031314E61677261766973696F6E,0x0425063d38fe178c8532bdcc2df160bb,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x000000000000000c,0xA9323031314E61677261766973696F6E,0xfb7b171bd3235ac76c392221abf7b01d,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x000000000000000d,0xA9323031314E61677261766973696F6E,0x5883a9ae42dbe2d6a4751da6222141c6,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x000000000000000e,0xA9323031314E61677261766973696F6E,0xfc720243f57aa19a705eef0b1955d9ab,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x000000000000000f,0xA9323031314E61677261766973696F6E,0xdfa2a2ead3f515e554aad85c23698b59,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000010,0xA9323031314E61677261766973696F6E,0x4d8e8e72658853242712000ebd2aaeb5,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000011,0xA9323031314E61677261766973696F6E,0x9e8186feff26eb7cb9d42f1178563c7a,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000012,0xA9323031314E61677261766973696F6E,0x48b88446f70216e2219c3a66246fb0eb,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000013,0xA9323031314E61677261766973696F6E,0x88b669bd9c3531871e2e41feb57e4bfe,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000014,0xA9323031314E61677261766973696F6E,0x08286b656a7cac26a6e9088a5e6ed401,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000015,0xA9323031314E61677261766973696F6E,0x1e9c1f0d0fba01e9b13b668e63a41011,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000016,0xA9323031314E61677261766973696F6E,0x32f8d0b05c64ea67ed87a3e8a2ff3286,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000017,0xA9323031314E61677261766973696F6E,0x8293ca8fef31bbc4affe6aa0693593a2,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000018,0xA9323031314E61677261766973696F6E,0xbeca89f1bd4853d759da3a57cfb91eee,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x0000000000000019,0xA9323031314E61677261766973696F6E,0x146b64c950251be59ba5452dd7028d6e,,,,,0xB86136B7E440B04394738D9047D154D6,,
0x000000000000001a,0xA9323031314E61677261766973696F6E,0xc6bfe9b4d7ec9ae378150c65a51b035b,,,,,0xB86136B7E440B04394738D9047D154D6,,
