NUID,r2rHostKeyDataOutEncEcb-EMI0x4021-1r,r2rHostKeyDataOutDecEcb-EMI0x4021-1r,r2rHostKeyDataOutEncCbc-EMI0x4026-1r,r2rHostKeyDataOutDecCbc-EMI0x4026-1r,r2rHostKeyDataOutEncCtr-EMI0x4027-1r,r2rHostKeyDataOutDecCtr-EMI0x4027-1r,r2rContentKeyDataOutEncEcb-EMI0x4021-1r,r2rContentKeyDataOutDecEcb-EMI0x4021-1r,r2rContentKeyDataOutEncCbc-EMI0x4026-1r,r2rContentKeyDataOutDecCbc-EMI0x4026-1r,r2rContentKeyDataOutEncCtr-EMI0x4027-1r,r2rContentKeyDataOutDecCtr-EMI0x4027-1r
0x0000000000000000,,,,,,,0x0ac1c140988c24da2129df0217fe7de8,0xa632d502b13c0027bfb6fd59fe69566c,,,,,
0x0000000000000001,,,,,,,0xf7d7d00096575c7d3f301d95bdb2076d,0xedc25b8a248af82710129ee8f585f274,,,,,
0x0000000000000002,,,,,,,0x9589c393f2bb37eab56bb7a08249dbc2,0xc973eb225540d5b49a39aa49f5f3bab4,,,,,
0x0000000000000003,,,,,,,0x7d80e3a2b84ee17159dee0d974a8c9cf,0xc02e7081888807b817a1bfdfa5c49f78,,,,,
0x0000000000000004,,,,,,,0xc78a9dffbe355295fa10af2eb4f5ee14,0x26c9b04034336091e503a10e9d914035,,,,,
0x0000000000000005,,,,,,,0x7331a26e238dfc415a718f83850caa76,0x783a868e3e4ca36544eafd75a7c71028,,,,,
0x0000000000000006,,,,,,,0x79e511465ead8e2c73a90a563cfa3505,0xc2e14e287247e7aec4f2daeac7468673,,,,,
0x0000000000000007,,,,,,,0xa82e2728f3fba3bd7bae17492119202c,0xe3646462e90efef9769b282f4ed57499,,,,,
0x0000000000000008,,,,,,,0x94ae410703f592078e8fab56b3682159,0xd700805ca25495828f54766a376d0bf7,,,,,
0x0000000000000009,,,,,,,0x1acdc5b2976521a994bdfacc88fa5a1f,0x555c3d597e8f2b70fc5db1f4593996b1,,,,,
0x000000000000000a,,,,,,,0xb4cd961f92eb70311d1002186ea8b8a7,0x96630f0a10e65adf2184f4e6d790ccea,,,,,
0x000000000000000b,,,,,,,0x282f6a343eee0fb7b410b1864d66418c,0xbdcf499ecc5f70d3e34f87765d9fc2b2,,,,,
0x000000000000000c,,,,,,,0x7543bad162dd95319e4bdf531a5b8282,0x008721169ccc655dbbc7d9c271ee279f,,,,,
0x000000000000000d,,,,,,,0xabd7713900c89dee694a070de8def1af,0x31b432a7112301b760fd734d4d72e4ef,,,,,
0x000000000000000e,,,,,,,0xf0926339000facba8c212de02cf9ac81,0xd27796b0ef9385fd764039c444bb9246,,,,,
0x000000000000000f,,,,,,,0x0b6fc2d57b5a2553e23dd3b9b4f0d868,0x58bddbb14100c675d76ef401e6d343c5,,,,,
0x0000000000000010,,,,,,,0x5bdf3f8deed250c88947dcadcecd9e7f,0xdf338ed34615fb7dc4f67ac7a2a7594a,,,,,
0x0000000000000011,,,,,,,0x5dafb0dee312d0e4072c8f38e8f22e76,0x39deac7112659e0edbf1c95f7d1bcf23,,,,,
0x0000000000000012,,,,,,,0xfeff223ec6dc9397047bfc2e6dcbd04b,0xb5dbea930dacbf2f54a7fb309ef6ee97,,,,,
0x0000000000000013,,,,,,,0x49284c61842d23f798a7ed5080d86841,0x46365a7a7dacadb65a70b1983a7c6c4b,,,,,
