NUID,r2rHostKeyDataOutEncEcb-EMI0x4041-MT,r2rHostKeyDataOutDecEcb-EMI0x4041-MT,r2rHostKeyDataOutEncCbc-EMI0x4043-MT,r2rHostKeyDataOutDecCbc-EMI0x4043-MT,r2rHostKeyDataOutEncCtr,r2rHostKeyDataOutDecCtr,r2rContentKeyDataOutEncEcb-EMI0x4041-MT,r2rContentKeyDataOutDecEcb-EMI0x4041-MT,r2rContentKeyDataOutEncCbc-EMI0x4043-MT,r2rContentKeyDataOutDecCbc-EMI0x4043-MT,r2rContentKeyDataOutEncCtr,r2rContentKeyDataOutDecCtr
0x0000000000000000,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0xdd57ea8a7d1869e3,0x34ee255c46745871,0x91d402c2cbf3d7cc,0x34de4bdd8c68be69,,,
0x0000000000000001,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x54e6d6e3adcad532,0x4a03424bc3bb68ff,0x3a0cd45c1bb90989,0x3046683213dd0985,,,
0x0000000000000002,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x355913d3a33df26a,0xdfbbd9d1bdc2b123,0x3efa2e91aff2499c,0xbd148028645637d7,,,
0x0000000000000003,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0xf9aa879846cacf36,0xaeee90ca0022875b,0x406ca4a4ffb2c114,0x933228c323e2084e,,,
0x0000000000000004,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x05d259c7340268b1,0x1cb690b38b5100e6,0xcf2edd155247db16,0x14155a0434d824ec,,,
0x0000000000000005,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0xed4174b1ff7460fa,0xcc9ba96aae895a29,0x9ab13f1b57b78491,0xf929d599fbb7c4e2,,,
0x0000000000000006,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x7080eb84ebe617f4,0x9f93032816d3a387,0x6a33f843e6e9fda8,0xd4dd4434f00eb9b4,,,
0x0000000000000007,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0xbf94a2b27289cc8e,0x71ed579950a1f7c0,0x8a193ffa4e3985b0,0x0d5f4f69a93903e4,,,
0x0000000000000008,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x44fe4fba760ee59a,0xbb9a3d96ebe9ac04,0x50b167a45287774d,0x6ffd9ef03911d788,,,
0x0000000000000009,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0xb26b81bb1987cc75,0x29e540bc877df6f1,0x510ae421a24b2d0a,0x4ed643cc91cb5749,,,
0x000000000000000a,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x689c4b918d960056,0xe7fcdb8f0907e4fe,0x30a14c08f9e403a5,0x6c101149bbac875f,,,
0x000000000000000b,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x3b8739f62810695b,0x1d7072a42040585a,0x23ef2574b0fb9d0f,0xf58ef3926d64f4f7,,,
0x000000000000000c,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x92c2f249f44e2181,0x136ff5eff21636c4,0x5f88590cf288ea68,0x81962c41008579a3,,,
0x000000000000000d,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x8ea57db5341cdb76,0x7a07435b30633939,0x9a591b8f04ae8996,0x1bfb2a2257d7e400,,,
0x000000000000000e,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0x1325ae07f9f68336,0xa394f0531a6db649,0xb37960427fee75ad,0x976df8242be0ca47,,,
0x000000000000000f,0x03E69F5BFA58EB42,0x6996C8FA47A2ABEB,0x357611565FA18E4D,0x470EFC9A6B8EE393,,,0xedaa4d75ef350286,0xe3cd8b65649f2095,0xacbeb5fca6ce0b10,0x97c51f341241cd65,,,
