NUID,r2rHostKeyDataOutEncEcb-EMI0x4041-1r,r2rHostKeyDataOutDecEcb-EMI0x4041-1r,r2rHostKeyDataOutEncCbc-EMI0x4043-1r,r2rHostKeyDataOutDecCbc-EMI0x4043-1r,r2rHostKeyDataOutEncCtr,r2rHostKeyDataOutDecCtr,r2rContentKeyDataOutEncEcb-EMI0x4041-1r,r2rContentKeyDataOutDecEcb-EMI0x4041-1r,r2rContentKeyDataOutEncCbc-EMI0x4043-1r,r2rContentKeyDataOutDecCbc-EMI0x4043-1r,r2rContentKeyDataOutEncCtr,r2rContentKeyDataOutDecCtr
0x0000000000000000,,,,,,,0xccee4e524d69440e,0x2ae439b04996f24c,,,,,
0x0000000000000001,,,,,,,0x507a4cbe00a6b51f,0x58fc8fd4b0b3b071,,,,,
0x0000000000000002,,,,,,,0x2ed334e7a1e55972,0x0d48030e4c8ce7c0,,,,,
0x0000000000000003,,,,,,,0xa76e677e66eb0058,0x015fb926fbf0b2af,,,,,
0x0000000000000004,,,,,,,0x80bbc880015eb909,0xa4c40b22dda27333,,,,,
0x0000000000000005,,,,,,,0x685473e974e3f8d0,0xd586f60deb2b0441,,,,,
0x0000000000000006,,,,,,,0xd3e0cbf9538579d8,0x26fb97ff5ccbe819,,,,,
0x0000000000000007,,,,,,,0xf55c1363030958e3,0xcaf957de45837d63,,,,,
0x0000000000000008,,,,,,,0x9a579e98922c2546,0xe146df039288f8f1,,,,,
0x0000000000000009,,,,,,,0x78448cae6686f363,0x2b39d96d1f18e282,,,,,
0x000000000000000a,,,,,,,0x2f2b532298f2cc36,0xeaf54285c7caba2e,,,,,
0x000000000000000b,,,,,,,0x0e3046abb12d8389,0x1aa4e58b31247ac3,,,,,
0x000000000000000c,,,,,,,0xdb34a5d59dae14c1,0x4a52d5b879dd0936,,,,,
0x000000000000000d,,,,,,,0x20b4434ee0a899f0,0xa28a68f4c68d8446,,,,,
0x000000000000000e,,,,,,,0x5ff883d6fe264ada,0xdbed485a7d81a827,,,,,
0x000000000000000f,,,,,,,0x11408ecac64c760a,0x4ff4ebaac835f096,,,,,
0x0000000000000010,,,,,,,0xc70fb82653b70e17,0x73aa31fb06a8b1df,,,,,
0x0000000000000011,,,,,,,0xfa41b7d9e55de8b4,0xe4d78efc2681f611,,,,,
0x0000000000000012,,,,,,,0x0211e12da3e352f5,0xe79b125ebe7eed2d,,,,,
0x0000000000000013,,,,,,,0xd4fc9f849f04b426,0xed5d6b41fbfbc73d,,,,,
0x0000000000000014,,,,,,,0x3e2e053572ec3052,0x99b256a202502298,,,,,
0x0000000000000015,,,,,,,0x72aa9ad0a75b30d2,0xb658fc466230272e,,,,,
0x0000000000000016,,,,,,,0xbd1b55164bd985e7,0x0a9b7508201be7e1,,,,,
0x0000000000000017,,,,,,,0xa41bbedca4f93223,0xe7765ee36b508d89,,,,,
0x0000000000000018,,,,,,,0x57073847b147dc37,0x55d2d3f6afd70ff0,,,,,
0x0000000000000019,,,,,,,0xdff5bb39647e6dea,0xcf5de5fd745bb367,,,,,
0x000000000000001a,,,,,,,0xdd41180e4b076215,0x86792533d4d5ed9d,,,,,
0x000000000000001b,,,,,,,0x5fb60283b20fe2ea,0x460a948a7e83b891,,,,,
0x000000000000001c,,,,,,,0x1fb7e729565d7ccb,0x792bdd29080304e5,,,,,
0x000000000000001d,,,,,,,0x56fc73b27c334cc0,0x189d077d06e76368,,,,,
0x000000000000001e,,,,,,,0x24697e4ffb6907b4,0x4eaf89970fc571f2,,,,,
0x000000000000001f,,,,,,,0xb5f0e946940cc85a,0xabc731ae5f80f9da,,,,,
0x0000000000000020,,,,,,,0x404546ac85346775,0x9c542158faf57a1f,,,,,
0x0000000000000021,,,,,,,0xd8c83385c7f4f931,0xfcb66d01974045c3,,,,,
0x0000000000000022,,,,,,,0x1520740c96c1c165,0x9e009587cb13569e,,,,,
0x0000000000000023,,,,,,,0xf02d4920a4d10306,0x951b5f1596a58774,,,,,
0x0000000000000024,,,,,,,0xeb8e185354925bbf,0xea1d8aa764cffb67,,,,,
0x0000000000000025,,,,,,,0x009fb897c2f3cf3c,0xfa6178b509ff47d2,,,,,
0x0000000000000026,,,,,,,0xacaad44d67893035,0xa364af42de4b9a69,,,,,
0x0000000000000027,,,,,,,0x76c8b9631f531ec8,0x42c37a5146668702,,,,,
0x0000000000000028,,,,,,,0x71cf7dec57beb8fd,0x4a149dc1f4c6c209,,,,,
0x0000000000000029,,,,,,,0xb2cffd537bee0305,0x70e85aa61fdd44c6,,,,,
0x000000000000002a,,,,,,,0x42af713aa67e2bb6,0xf5e422336b019a60,,,,,
0x000000000000002b,,,,,,,0x080e3ed245ddd448,0xebb6404e72050e4e,,,,,
0x000000000000002c,,,,,,,0xa64ac557bd4ff5e9,0x147a811e809b0e49,,,,,
0x000000000000002d,,,,,,,0xb697a77a291bd0ee,0xb4cd96d33e90fdf4,,,,,
0x000000000000002e,,,,,,,0x504796320460eddc,0x1cba08ac0e9675a1,,,,,
0x000000000000002f,,,,,,,0x99451040146f2c84,0xdb714951ad0afb9a,,,,,
0x0000000000000030,,,,,,,0xa25b624d839e7992,0x2ca555ef6aaef43d,,,,,
0x0000000000000031,,,,,,,0xeb79d2b447485acd,0x3b84ff7515d12d66,,,,,
0x0000000000000032,,,,,,,0x4a34ea61561a2ca2,0xd8fb588f43c33827,,,,,
0x0000000000000033,,,,,,,0x759d3f7318d8abbc,0xca9dc72cb8fa51f8,,,,,
0x0000000000000034,,,,,,,0xfb0e8d93ec6e7f25,0x1e797eb12205dad3,,,,,
